Title,First Name,Date
Crazy For You,Madonna,1985-05-04
We Are The World,USA,1985-04-27
Can't Fight This Feeling,REO,1985-03-16
Careless Whisper,Wham!,1985-02-23
I Want To Know What Love Is,Foreigner,1985-02-02
Like A Virgin,Madonna,1985-01-19
Out Of Touch,Daryl,1984-12-08
Wake Me Up Before You Go-Go,Wham!,1984-11-24
Caribbean Queen (No More Love On The Run),Billy,1984-11-03
I Just Called To Say I Love You,Stevie,1984-10-20
Let's Go Crazy,Prince,1984-09-29
Missing You,John,1984-09-15
What's Love Got To Do With It,Tina,1984-09-08
Ghostbusters,Ray,1984-08-18
When Doves Cry,Prince,1984-07-28
The Reflex,Duran,1984-06-23
Time After Time,Cyndi,1984-06-09
Let's Hear It For The Boy,Deniece,1984-05-26
Against All Odds (Take A Look At Me Now),Phil,1984-04-28
Footloose,Kenny,1984-04-07
Karma Chameleon,Culture,1984-02-11
Owner Of A Lonely Heart,Yes,1984-01-21
Say Say Say,Paul,1984-01-07
All Night Long (All Night),Lionel,1983-11-26
Islands In The Stream,Kenny,1983-10-29
Total Eclipse Of The Heart,Bonnie,1983-10-15
Tell Her About It,Billy,1983-09-17
Maniac,Michael,1983-09-10
Sweet Dreams (Are Made Of This),Eurythmics,1983-08-27
Every Breath You Take,The,1983-08-20
Flashdance...What A Feeling,Irene,1983-06-25
Let's Dance,David,1983-05-14
Beat It,Michael,1983-05-07
Come On Eileen,Dexy's,1983-04-16
Billie Jean,Michael,1983-04-09
"Baby, Come To Me",Patti,1983-02-19
Down Under,Men,1983-02-05
Africa,Toto,1983-01-29
Maneater,Daryl,1983-01-01
Mickey,Toni,1982-12-04
Truly,Lionel,1982-11-27
Up Where We Belong,Joe,1982-11-13
Who Can It Be Now?,Men,1982-10-23
Jack & Diane,John,1982-10-16
Abracadabra,The,1982-09-18
Hard To Say I'm Sorry,Chicago,1982-09-11
Eye Of The Tiger,Survivor,1982-08-21
Don't You Want Me,The,1982-07-10
Ebony And Ivory,Paul,1982-06-19
Chariots Of Fire - Titles,Vangelis,1982-05-01
I Love Rock 'N Roll,Joan,1982-04-24
Centerfold,The,1982-03-06
I Can't Go For That (No Can Do),Daryl,1982-01-23
Physical,Olivia,1982-01-16
Private Eyes,Daryl,1981-11-07
Arthur's Theme (Best That You Can Do),Christopher,1981-10-24
Endless Love,Diana,1981-10-03
Jessie's Girl,Rick,1981-08-01
The One That You Love,Air,1981-07-18
Bette Davis Eyes,Kim,1981-07-11
Medley,Stars,1981-06-13
Morning Train (Nine To Five),Sheena,1981-05-02
Kiss On My List,Daryl,1981-04-18
Rapture,Blondie,1981-03-28
Keep On Loving You,REO,1981-03-14
9 To 5,Dolly,1981-03-07
I Love A Rainy Night,Eddie,1981-02-28
Celebration,Kool,1981-02-07
The Tide Is High,Blondie,1981-01-24
(Just Like) Starting Over,John,1981-01-17
Lady,Kenny,1980-12-13
Woman In Love,Barbra,1980-11-01
Another One Bites The Dust,Queen,1980-10-11
Upside Down,Diana,1980-09-20
Sailing,Christopher,1980-08-23
Magic,Olivia,1980-08-16
It's Still Rock And Roll To Me,Billy,1980-07-19
Coming Up (Live At Glasgow),Paul,1980-07-05
Funkytown,"Lipps,",1980-06-14
Call Me,Blondie,1980-05-17
Another Brick In The Wall (Part II),Pink,1980-04-05
Crazy Little Thing Called Love,Queen,1980-03-08
Do That To Me One More Time,Captain,1980-02-09
Rock With You,Michael,1980-02-02
Escape (The Pina Colada Song),Rupert,1980-01-05
Please Don't Go,KC,1979-12-29
Babe,Styx,1979-12-08
No More Tears (Enough Is Enough),Barbra,1979-11-24
Still,Commodores,1979-11-10
Heartache Tonight,Eagles,1979-11-03
Pop Muzik,M,1979-10-27
Rise,Herb,1979-10-20
Don't Stop 'til You Get Enough,Michael,1979-10-06
Sad Eyes,Robert,1979-09-29
My Sharona,The,1979-09-22
Good Times,Chic,1979-08-11
Bad Girls,Donna,1979-08-04
Ring My Bell,Anita,1979-06-30
Hot Stuff,Donna,1979-06-16
Love You Inside Out,Bee,1979-06-02
Reunited,Peaches,1979-05-19
Heart Of Glass,Blondie,1979-04-21
Knock On Wood,Amii,1979-04-14
What A Fool Believes,The,1979-04-07
I Will Survive,Gloria,1979-03-31
Tragedy,Bee,1979-03-24
Da Ya Think I'm Sexy?,Rod,1979-02-24
Le Freak,Chic,1979-01-27
Too Much Heaven,Bee,1979-01-06
You Don't Bring Me Flowers,Barbra,1978-12-09
MacArthur Park,Donna,1978-11-18
You Needed Me,Anne,1978-10-28
Hot Child In The City,Nick,1978-10-21
Kiss You All Over,Exile,1978-10-14
Boogie Oogie Oogie,A,1978-09-16
Grease,Frankie,1978-08-26
Three Times A Lady,Commodores,1978-08-12
Miss You,The,1978-07-29
Shadow Dancing,Andy,1978-07-22
You're The One That I Want,John,1978-06-03
"Too Much, Too Little, Too Late",Johnny,1978-05-27
With A Little Luck,Wings,1978-05-20
If I Can't Have You,Yvonne,1978-05-06
Night Fever,Bee,1978-04-29
(Love Is) Thicker Than Water,Andy,1978-03-04
Stayin' Alive,Bee,1978-02-18
Baby Come Back,Player,1978-01-21
How Deep Is Your Love,Bee,1977-12-31
You Light Up My Life,Debby,1977-12-10
Star Wars Theme/Cantina Band,Meco,1977-10-01
Best Of My Love,The,1977-09-17
I Just Want To Be Your Everything,Andy,1977-09-10
Looks Like We Made It,Barry,1977-07-16
Da Doo Ron Ron,Shaun,1977-07-09
Undercover Angel,Alan,1977-07-02
Gonna Fly Now,Bill,1977-06-25
Got To Give It Up (Pt. I),Marvin,1977-06-18
Dreams,Fleetwood,1977-06-11
I'm Your Boogie Man,KC,1977-06-04
Sir Duke,Stevie,1977-05-28
When I Need You,Leo,1977-05-07
Hotel California,Eagles,1977-04-30
Southern Nights,Glen,1977-04-23
Don't Leave Me This Way,Thelma,1977-04-16
Don't Give Up On Us,David,1977-04-09
Dancing Queen,ABBA,1977-04-02
Rich Girl,Daryl,1977-03-26
"Evergreen (Love Theme From ""A Star Is Born"")",Barbra,1977-03-12
New Kid In Town,Eagles,1977-02-19
Blinded By The Light,Manfred,1977-02-12
Torn Between Two Lovers,Mary,1977-02-05
Car Wash,Rose,1977-01-22
I Wish,Stevie,1977-01-15
You Make Me Feel Like Dancing,Leo,1977-01-08
You Don't Have To Be A Star (To Be In My Show),Marilyn,1977-01-01
Tonight's The Night (Gonna Be Alright),Rod,1976-12-25
Rock'n Me,Steve,1976-10-30
If You Leave Me Now,Chicago,1976-10-23
Disco Duck (Part I),Rick,1976-10-09
