Title,Artist,First Name,Date
She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown,Glenn,1990-07-21
Step By Step,New Kids On The Block,New,1990-07-07
"It Must Have Been Love (From ""Pretty Woman"")",Roxette,Roxette,1990-06-16
Hold On,Wilson Phillips,Wilson,1990-06-02
Vogue,Madonna,Madonna,1990-05-26
Nothing Compares 2 U,Sinead O'Connor,Sinead,1990-05-05
I'll Be Your Everything,Tommy Page,Tommy,1990-04-07
Love Will Lead You Back,Taylor Dayne,Taylor,1990-03-31
Black Velvet,Alannah Myles,Alannah,1990-03-24
Escapade,Janet Jackson,Janet,1990-03-10
Opposites Attract,Paula Abdul (Duet With The Wild Pair),Paula,1990-02-17
How Am I Supposed To Live Without You,Michael Bolton,Michael,1990-01-27
Another Day In Paradise,Phil Collins,Phil,1990-01-06
We Didn't Start The Fire,Billy Joel,Billy,1989-12-09
Blame It On The Rain,Milli Vanilli,Milli,1989-11-25
When I See You Smile,Bad English,Bad,1989-11-11
Listen To Your Heart,Roxette,Roxette,1989-10-28
Miss You Much,Janet Jackson,Janet,1989-10-21
Girl I'm Gonna Miss You,Milli Vanilli,Milli,1989-09-23
Don't Wanna Lose You,Gloria Estefan,Gloria,1989-09-09
Hangin' Tough,New Kids On The Block,New,1989-09-02
Cold Hearted,Paula Abdul,Paula,1989-08-26
Right Here Waiting,Richard Marx,Richard,1989-08-19
"Batdance (From ""Batman"")",Prince,Prince,1989-07-29
Toy Soldiers,Martika,Martika,1989-07-22
If You Don't Know Me By Now,Simply Red,Simply,1989-07-08
Good Thing,Fine Young Cannibals,Fine,1989-07-01
Baby Don't Forget My Number,Milli Vanilli,Milli,1989-06-24
Satisfied,Richard Marx,Richard,1989-06-17
I'll Be Loving You (Forever),New Kids On The Block,New,1989-06-10
"Wind Beneath My Wings (From ""Beaches"")",Bette Midler,Bette,1989-06-03
"Rock On (From ""Dream A Little Dream"")",Michael Damian,Michael,1989-05-27
Forever Your Girl,Paula Abdul,Paula,1989-05-20
I'll Be There For You,Bon Jovi,Bon,1989-05-06
Like A Prayer,Madonna,Madonna,1989-04-29
She Drives Me Crazy,Fine Young Cannibals,Fine,1989-04-08
The Look,Roxette,Roxette,1989-04-01
Eternal Flame,The Bangles,The,1989-03-25
