Title,Year,Actors,Characters
The Avengers,2012,"['Robert', 'Chris', 'Mark', 'Chris']","['Tony', 'Steve', 'Bruce', 'Thor', 'Clint', 'Nick', 'Pepper', 'Maria', 'Natalia', 'Natasha', 'Erik']"
Frozen,2013,"['Kristen', 'Idina', 'Jonathan', 'Josh']","['Elsa', 'Anna', 'Olaf', 'Sven', 'Kristoff', 'Hans']"
Transformers: Age of Extinction,2014,"['Mark', 'Stanley', 'Kelsey', 'Nicola']","['Tessa', 'Cade', 'Harold', 'Su', 'Lucas']"
Star Wars: The Force Awakens,2015,"['J.J.', 'John', 'Anthony', 'Gwendoline']","['Rey', 'Kylo', 'Luke', 'Han', 'Leia', 'Finn', 'Poe']"
Captain America: Civil War,2016,"['Chris', 'Robert', 'Scarlett', 'Sebastian']","['Steve', 'Peter', 'Tony', 'Bucky', ""T'Challa"", 'Natasha', 'Wanda', 'Clint', 'Scott']"
Star Wars: The Last Jedi,2017,"['Mark', 'Carrie', 'Adam', 'Daisy']","['Rey', 'Kylo', 'Luke', 'Han', 'Leia', 'Finn', 'Poe']"
Avengers: Infinity War,2018,"['Robert', 'Chris', 'Mark', 'Chris']","['Tony', 'Steve', 'Bruce', 'Thor', 'Nick', 'Pepper', 'Maria', 'Natalia', 'Natasha', 'Erik', 'Peter', 'Stephen', 'Rocket', 'Thanos', 'Shuri', 'Okoye', 'Gamora', 'Scott']"
Avengers: Endgame,2019,"['Robert', 'Chris', 'Mark', 'Chris']","['Tony', 'Steve', 'Bruce', 'Thor', 'Clint', 'Nick', 'Pepper', 'Maria', 'Natalia', 'Natasha', 'Erik', 'Peter', 'Stephen', 'Rocket', 'Thanos', 'Shuri', 'Okoye', 'Gamora']"
The Little Mermaid,1989,"['Rene', 'Christopher', 'Jodi', 'Pat']","['Ariel', 'Sebastian', 'Triton', 'Eric']"
Black Panther,2018,"['Chadwick', 'Michael', 'Lupita', 'Danai']","[""T'Challa"", 'Erik', 'Shuri', 'Okoye', ""W'Kabi""]"
The Italian Job,2003,"['Mark', 'Charlize', 'Donald', 'Jason']","['Pete', 'Rob', 'Stella', 'John', 'Charlie', 'Steve', 'Mashkov', 'Yevhen']"
Casablanca,1942,"['Humphrey', 'Ingrid', 'Paul', 'Claude']","['Ilsa', 'Rick', 'Victor', 'Heinrich', 'Ugarte', 'Louis', 'Carl', 'Annina']"
When Harry Met Sally,1989,"['Billy', 'Meg', 'Carrie', 'Bruno']","['Harry', 'Sally']"
Breakfast at Tiffany's,1961,"['Audrey', 'George', 'Patricia', 'Buddy']","['Tiffany', 'Holly', 'Paul', 'Rusty', 'Sally']"
Legally Blonde,2001,"['Reese', 'Luke', 'Selma', 'Matthew']","['Elle', 'Chutney', 'Warner', 'Paulette', 'Vivian', 'Emmett', 'Serena']"
The Wizard of Oz,1939,"['Judy', 'Frank', 'Ray', 'Bert']","['Dorothy', 'Glinda']"
